travel_order_sentence,start,end,middle
Calcule un itinéraire mais pas direct je veux partir de Lafrancaise ensuite St martin du tertre et pour finir Isques,Lafrancaise,Isques,St martin du tertre
Angoulins-sur-Mer direct apres Autun depart Audun-le-Roman,Audun-le-Roman,Angoulins-sur-Mer,Autun
Comment rejoindre Saugon depuis Surmont,Surmont,Saugon,
Rendez-vous annulé à Rue Angélique Compoint je vais Place Baudoyer à Allée Marius Barroux,Place Baudoyer,Allée Marius Barroux,
Je veux aller à Moyeuvre-Grande mais pas directement d'abord je pars de Le Buisson et je dois passer par Fréjus,Le Buisson,Moyeuvre-Grande,Fréjus
Départ Voie Fd/20 arrivée Rue Eugène Jumin,Voie Fd/20,Rue Eugène Jumin,
Comment se rendre à Mayet en partant de Frehel,Frehel,Mayet,
La fête à Rue de l'Université est annulé je pars de Rue Saint-Germain l'Auxerrois pour rejoindre Boulevard Lannes,Rue Saint-Germain l'Auxerrois,Boulevard Lannes,
Je dois être à Rue de Monbel avant midi je pars de Passage Vallet,Passage Vallet,Rue de Monbel,
Voyons voir Billy le grand nom de Chamigny à Hohrod,Chamigny,Hohrod,
Je suis en retard à mon rendez-vous à Tanis et je suis encore à Esperce Trouve moi un itinéraire,Esperce,Tanis,
Mon GPS indique Rue des Mauvais Garçons mais je veux aller de Avenue du Général Détrie à Rue Robert et Sonia Delaunay Square des Aliscamps pardon,Avenue du Général Détrie,Square des Aliscamps,
Je veux voyager Millencourt mais pas directement d'abord je me lance de Poinson les fayl et je dois impérativement passer par Labarthete,Poinson les fayl,Millencourt,Labarthete
Passe par Rue Cugnot entre Rue du Commandeur et Rue de la Folie-Méricourt,Rue du Commandeur,Rue de la Folie-Méricourt,Rue Cugnot
Place Baudoyer jusque Rue Courtalon jusque Passage Savart désolé,Place Baudoyer,Passage Savart,
Tu m'indiques Metz-Ville Neuilly-sur-Marne,Metz-Ville,Neuilly-sur-Marne,
Je veux aller de Rue de la Mire jusqu'à Porte Saint-James mais pas directement faut que je fasse un arrêt à Rue Paul Lelong,Rue de la Mire,Porte Saint-James,Rue Paul Lelong
Faut que je parte de Hohrod pour aller à Tanis,Hohrod,Tanis,
Je voudrais aller à Voulgezac Remereville plutôt et je partirai de Hohrod,Hohrod,Remereville,
Je suis perdu entre Guerande et Montousse je veux juste Beaucourt en santerre Montrecourt,Beaucourt en santerre,Montrecourt,
Avec la pluie je préfère passer par Talcy pour aller de Poinson les fayl à Royeres,Poinson les fayl,Royeres,Talcy
Pignans par Bischoffsheim,,Pignans,Bischoffsheim
Je dois choper quelque chose à Place Bernard Halpern en allant de Place Gambetta vers Chemin des Gravilliers,Place Gambetta,Chemin des Gravilliers,Place Bernard Halpern
Je suis perdu je veux aller de Boussay-La Bruffière à Frynaudour,Boussay-La Bruffière,Frynaudour,
Aller à Laval en belledonne,,Laval en belledonne,
Je suis à Herny et je veux me rendre à Ménil-Flin ah merde oublie ce que je viens de dire j'ai eu un petit contre temps enfaite je dois me rendre à Meximieux-Pérouges et je dois passer par St-Gervais-les-Bains-Le Fayet par contre je suis vraiment à Pont-de-Claix,Pont-de-Claix,Meximieux-Pérouges,St-Gervais-les-Bains-Le Fayet
Calcule un itinéraire mais pas direct je veux partir de Ossès-St-Martin-d'Arrossa ensuite Haubourdin et pour finir Péronne-la-Chapelette,Ossès-St-Martin-d'Arrossa,Péronne-la-Chapelette,Haubourdin
Voyons voir La cassaigne non de Sauville jusqu'à Riscle,Sauville,Riscle,
Route de Impasse Salembrière pour Place Baudoyer,Impasse Salembrière,Place Baudoyer,
Je suis à Blequin et je veux prendre le chemin qui passe par Courtoin pour aller à St anthot,Blequin,St anthot,Courtoin
Je suis à Voie Ee/20 et je veux prendre le chemin qui passe par Rue des Nonnains d'Hyères pour aller à Voie Cd/15,Voie Ee/20,Voie Cd/15,Rue des Nonnains d'Hyères
J'habite à Villa Industrielle je dois passer par Rue de Bucarest pour aller à Passage des Panoramas,Villa Industrielle,Passage des Panoramas,Rue de Bucarest
Etevaux à partir de Bilieu,Bilieu,Etevaux,
Je dois choper quelque chose à Place Aminadabu Birara en allant de Rue des Dames vers Rue Miguel Hidalgo,Rue des Dames,Rue Miguel Hidalgo,Place Aminadabu Birara
Le GPS bug à Rue Vauquelin direction Chemin des Pépinières Impasse de Joinville,Chemin des Pépinières,Impasse de Joinville,
Trop de bouchons vers Gravon je fais je prends Oyonnax Quercitello,Oyonnax,Quercitello,
Comment on va de Oyonnax à Chamigny,Oyonnax,Chamigny,
Je veux aller à Avenue Joseph Bédier mais pas directement d'abord je pars de Chemin des Gravilliers et je dois passer par Rue du Jourdain,Chemin des Gravilliers,Avenue Joseph Bédier,Rue du Jourdain
Je pars de Passage Savart je vais à Rue Notre-Dame de Recouvrance,Passage Savart,Rue Notre-Dame de Recouvrance,
Comment aller de Rue Mercoeur à Impasse des Peintres,Rue Mercoeur,Impasse des Peintres,
Je dois rejoindre Boulevard Lannes je suis Rue Albin Haller,Rue Albin Haller,Boulevard Lannes,
Je dois passer au travail situé à Passage du Guesclin pour rejoindre mon appartement à Rue du Commandeur et je suis actuellement à Rue Guy Môquet,Rue Guy Môquet,Rue du Commandeur,Passage du Guesclin
On se capte à Vélines puis direction Neuville-sur-Sarthe avant de finir à Corcy ça te va,Vélines,Corcy,Neuville-sur-Sarthe
Pour aller de Le crotoy à Cuissai je dois d'abord passer par Monviel,Le crotoy,Cuissai,Monviel
Le magasin de Fréjus est fermé du coup je dois partir de Audun-le-Roman m'arrêter à Saverne pour aller à Ebersheim,Audun-le-Roman,Ebersheim,Saverne
Je suis à Choisy le roi à Veney et je dois aller pas à Bandrele mais à Condat sur vezere,Veney,Condat sur vezere,
Est-ce possible d'aller à Thun l eveque depuis Areines avec un arrêt à Poindimie,Areines,Thun l eveque,Poindimie
Je suis à Mezerolles faut se diriger vers Flaux puis Peyrusse grande,Mezerolles,Peyrusse grande,Flaux
On se capte à Rue du Chalet puis direction Rue de la Monnaie avant de finir à Voie Ee/20 ça te va,Rue du Chalet,Voie Ee/20,Rue de la Monnaie
C'est possible de calculer ça je suis devant Rue Quincampoix je dois récupérer un colis qui se trouve dans Promenade Claude Estier pour l'apporter à Avenue Joseph Bédier,Rue Quincampoix,Avenue Joseph Bédier,Promenade Claude Estier
Place Georges Berry Square Claude Debussy en suivant le chemin de Voie Ba/14,Place Georges Berry,Square Claude Debussy,Voie Ba/14
Impasse des Trois Soeurs destination Boulevard Lannes,Impasse des Trois Soeurs,Boulevard Lannes,
Comment aller à Huby st leu en passant par Cheptainville ah enfaite je veux aller Fallon en passant par Le charmel en partant de Moulin neuf,Moulin neuf,Fallon,Le charmel
Je suis en retard à mon rendez-vous à Rue Albin Haller et je suis encore à Place Baudoyer Trouve moi un itinéraire,Place Baudoyer,Rue Albin Haller,
Je dois passer à La chapelle blanche pour me rendre Aulnay la riviere de Essouvert mais je préfère passer par Bagneux finalement,Essouvert,Aulnay la riviere,Bagneux
Parti de Esperce à St pierre des champs mince à Veney plutôt,Esperce,Veney,
Je vais à Poliénas en prenant le chemin qui passe par Montlouis,,Poliénas,Montlouis
Avant d'arriver à Lérouville il faut que je absolument faire un stop à St-Mathurin,,Lérouville,St-Mathurin
Le GPS Bugge à Promenade Eric Tabarly direction Rue de Tolbiac Impasse de Joinville,Rue de Tolbiac,Impasse de Joinville,
Nouveau trajet alors comment dire Je pars de Vélines je dois finir à Bazoches mais avant la fin je dois voir quelqu'un à Vaux-sur-Seine,Vélines,Bazoches,Vaux-sur-Seine
Emmène-moi à Hohrod là je suis à Guincourt,Guincourt,Hohrod,
Je veux aller de Ceaux en loudun jusqu'à Ste foy la longue mais pas directement Faut que je fasse un arrêt à Petit landau avant d'arriver,Ceaux en loudun,Ste foy la longue,Petit landau
Je part de Morcenx vers Porte-de-Clichy et Ebersheim,Morcenx,Ebersheim,Porte-de-Clichy
Pour aller à Rue Ponscarme je dois traverser Voie T/16 Rue Albéric Magnard je voulais dire et je débute à Voie Cd/15,Voie Cd/15,Rue Ponscarme,Rue Albéric Magnard
Je veux aller de Rue Bréa jusqu'à Rue Lécuyer mais pas directement faut que je fasse un arrêt à Avenue Gustave V de Suède,Rue Bréa,Rue Lécuyer,Avenue Gustave V de Suède
Je dois rejoindre Laval en belledonne je pars de Royaucourt,Royaucourt,Laval en belledonne,
J'habite à Pointe-de-Grave je dois aller à St-Fons mais je dois passer par Conches,,St-Fons,Conches
Je dois rejoindre Coursan je pars de St-Martin-le-Beau,St-Martin-le-Beau,Coursan,
Position Menton-Garavan destination finale Retiers,Menton-Garavan,Retiers,
Départ Les Saules arrivée Naintré-les-Barres,Les Saules,Naintré-les-Barres,
De Chartres pardon de Givet jusqu'à Pérenchies,Givet,Pérenchies,
Je veux faire Jonville en woevre Loupiac de la reole,Jonville en woevre,Loupiac de la reole,
Direction Tagolsheim depuis Villefranche-de-Rouergue,Villefranche-de-Rouergue,Tagolsheim,
J'ai eu un rendez-vous chez mon ami qui habite dans le nord de Cour Sedaine j'habite pas loin de Voie Bh/17 et je dois pas aller à Route Butte Mortemart mais à côté à Rue des Gâtines,Voie Bh/17,Rue des Gâtines,
Le GPS bug à Rue Jean Tison direction Rue Marietta Alboni Avenue Edouard Vaillant,Rue Marietta Alboni,Avenue Edouard Vaillant,
Je dois voyager à Oudezeele ah non je voulais dire Veney pardon et je suis à Petit couronne là,Petit couronne,Veney,
J'ai eu un rendez-vous chez mon ami qui habite dans le nord de La thuile j'habite pas loin de Val des pres et je dois pas aller à Culin mais à côté à Tanis,Val des pres,Tanis,
Je dois aller à Péronne-la-Chapelette là mais avant ça je dois aller à Colayrac et j'habite à Morcenx donc je pars de là,Morcenx,Péronne-la-Chapelette,Colayrac
À Péronne-la-Chapelette j'ai besoin de d'abord passer par Mouzon,,Péronne-la-Chapelette,Mouzon
Veux me rendre chez mon ami qui habite à Andance en partant de Tournon sur rhone mais avant je me rends à Allainville aux bois,Tournon sur rhone,Andance,Allainville aux bois
Oublie Vinça calcule St-Pol-de-Léon Ste-Gauburge par Mouy-Bury,St-Pol-de-Léon,Ste-Gauburge,Mouy-Bury
Je suis perdu entre Eu et Vic-le-Comte je veux juste Farbus St-Armel,Farbus,St-Armel,
Je dois aller chez ma mère là elle habite à Bazoches mais là je suis à St-Pol-de-Léon et avant ça je dois passer devant un magasin qui est à Crouy,St-Pol-de-Léon,Bazoches,Crouy
Trouve-moi une route je suis actuellement à Cuissai ah oui et avant d'arriver à Balesta je dois absolument faire un stop à Bouvresse,Cuissai,Balesta,Bouvresse
Emmène-moi à Châteaulin là je suis à Villefranche-de-Rouergue,Villefranche-de-Rouergue,Châteaulin,
Je suis près de St-Aubin (Jura) à côté du supermarché je dois passer à la pharmacie de Orange avant d'aller à Changis-St-Jean,St-Aubin (Jura),Changis-St-Jean,Orange
Je dois me déplacer vers Pont-Cardinet afin de me rendre à Coursan,Pont-Cardinet,Coursan,
Allons à Armix en partant de St anthot mais avant ça je veux aller à Turcey,St anthot,Armix,Turcey
Est-ce possible d'aller à Rue Lécuyer depuis Avenue de la Grande Armée avec un arrêt à Rue Brahms,Avenue de la Grande Armée,Rue Lécuyer,Rue Brahms
Je suis à Hunspach faut aller à Mielan puis St etienne de puycorbier,Hunspach,St etienne de puycorbier,Mielan
Il neige à St-Martin-du-Touch du coup je pars de Pins-Justaret arrêt à St-Georges-de-Reneins destination Sérifontaine,Pins-Justaret,Sérifontaine,St-Georges-de-Reneins
J'ai fait Vitot ce matin Gibeaumeix à midi maintenant calcule-moi Surmont vers Chainaz les frasses,Surmont,Chainaz les frasses,
Calcule un trajet mais pas direct Je veux partir de La chapelle hareng ensuite Pardines et pour finir Aspin en lavedan,La chapelle hareng,Aspin en lavedan,Pardines
Je pars de Voie Cd/20 dans une heure pause déjeuner à Place Joachim du Bellay pour arriver à Voie Ee/20 ce soir,Voie Cd/20,Voie Ee/20,Place Joachim du Bellay
Je vais à May sur orne en prenant le chemin qui passe par La veze,,May sur orne,La veze
Je dois choper quelque chose à La Guerche-sur-l'Aubois en allant de Changis-St-Jean vers Lérouville,Changis-St-Jean,Lérouville,La Guerche-sur-l'Aubois
Chemin vers Dunkerque-Port-Ouest,,Dunkerque-Port-Ouest,
Je veux aller à Igney-Avricourt Corcy en passant par Biache-St-Vaast en partant de Villabé,Villabé,Corcy,Biache-St-Vaast
Comment aller à Thomery en passant par Plobannalec lesconil ah enfaite je veux aller Montchauvet en passant par Signy signets en partant de Isques,Isques,Montchauvet,Signy signets
Aller à Isbergues en empruntant le chemin de Grand'Combe-La Pise Chantenay-St-Imbert en partant de Pignans,Pignans,Isbergues,Chantenay-St-Imbert
Allons à May sur orne en partant de Thun l eveque mais avant ça je veux aller à Montauville,Thun l eveque,May sur orne,Montauville
St leger du malzieu en partant à Val d auge non à Savy berlette je mélange,Savy berlette,St leger du malzieu,
Ça sera Ste mere Pree d anjou puis Verneusses,Ste mere,Verneusses,Pree d anjou
Je veux aller à Audun-le-Roman mais pas directement d'abord je pars de Meximieux-Pérouges et je dois passer par Lutzelbourg,Meximieux-Pérouges,Audun-le-Roman,Lutzelbourg
Je vis à Hatrize je cherche à partir de la ville la plus proche qui est Villereversure pour voyager à Péronne-la-Chapelette mais je désirerais passer par Tonneins pour voir ma famille,Villereversure,Péronne-la-Chapelette,Tonneins
Cricqueville en bessin fermé Beost bloqué Dampierre annulé donc Montrecourt Veney,Montrecourt,Veney,
Je dois être à Allée Marius Barroux avant midi je pars de Villa Ornano,Villa Ornano,Allée Marius Barroux,
Je suis près de Argelès-sur-Mer à côté du supermarché je dois passer à la pharmacie de Châtel-Nomexy avant d'aller à Epernay,Argelès-sur-Mer,Epernay,Châtel-Nomexy
Segos par La vendelee,,Segos,La vendelee
Comment aller à Bouray,,Bouray,
Je me trouve St-Cyr objectif Neuilly-sur-Marne,St-Cyr,Neuilly-sur-Marne,
Il me faudrait Esperce direction Chatte,Esperce,Chatte,
J'ai besoin d'un itinéraire Alors on va dire départ Rue Gay-Lussac arrivée Passage de la Visitation ah non non Cité du Sacré-Coeur pardon mais faut passer par Passage de la Visitation,Rue Gay-Lussac,Cité du Sacré-Coeur,Passage de la Visitation
Je souhaite partir de Montreuil sur therain pour aller à Soustelle ah non en fait je souhaite aller à Le chateau d oleron depuis Montigny sur l hallue ah merde ça vient de changer et je souhaite aller à Chainaz les frasses depuis Berganty,Berganty,Chainaz les frasses,
Je dois aller à Paris-Gare-de-Lyon,,Paris-Gare-de-Lyon,
Je dois passer par Place de Valois pour me diriger à Rue René Boulanger en partant de Rue Jules Pichard,Rue Jules Pichard,Rue René Boulanger,Place de Valois
Si je suis à Ste foy la longue et que je dois aller jusqu'a Moulin neuf tu peux me faire passer par Mirvaux c'est important pour moi,Ste foy la longue,Moulin neuf,Mirvaux
Position Metz-Ville destination finale Mohon,Metz-Ville,Mohon,
Calcule un itinéraire mais pas direct je veux partir de Rue Bréa ensuite Passage Tenaille et pour finir Rue du Soleil,Rue Bréa,Rue du Soleil,Passage Tenaille
J'ai rendez-vous à Aspres-sur-Buëch à 14h puis je dois aller à St-Pierre-la-Cour je suis à Pins-Justaret,Pins-Justaret,St-Pierre-la-Cour,Aspres-sur-Buëch
Faut aller où pour faire Rue Bernard Tétu Allée Marius Barroux,Rue Bernard Tétu,Allée Marius Barroux,
On part de Rue Jeanne Jugan on s'arrête en face de Impasse Dupuy puis direction Rue de Montevideo ok,Rue Jeanne Jugan,Rue de Montevideo,Impasse Dupuy
Je dois aller à Frynaudour,,Frynaudour,
Voyons voir Rue Paul Albert nom de Avenue de la Bourdonnais à Boulevard Lannes,Avenue de la Bourdonnais,Boulevard Lannes,
Marseille-St-Charles fermé Champbenoist-Poigny bloqué Chenevières annulé donc St-Varent Roissy-Aéroport-Charles-de-Gaulle 2-TGV (RER),St-Varent,Roissy-Aéroport-Charles-de-Gaulle 2-TGV (RER),
Il me faut un itinéraire Porchefontaine Neuilly-sur-Marne,Porchefontaine,Neuilly-sur-Marne,
Trop de bouchons vers Alençon je prends Igny St-Martin-le-Beau,Igny,St-Martin-le-Beau,
Pour arriver à Espeyrac je dois partir de Armeau non de La roche posay,La roche posay,Espeyrac,
De Herbsheim excuse-moi donc Mayet à Chainaz les frasses,Mayet,Chainaz les frasses,
Commence Bar-sur-Aube continue Reims-St-Léonard termine Meudon-Val-Fleury,Bar-sur-Aube,Meudon-Val-Fleury,Reims-St-Léonard
Je dois passer par Place de l'Odéon pour aller à Place Joachim du Bellay en partant de Rue Quincampoix,Rue Quincampoix,Place Joachim du Bellay,Place de l'Odéon
Rue Marietta Alboni c'est où,,Rue Marietta Alboni,
Pas Rue de la Guadeloupe je veux dire de Rue Bernard Tétu pour aller Cour Jacques Viguès et du coup je passe pas par Rue François Bloch-Lainé,Rue Bernard Tétu,Cour Jacques Viguès,
Trop de bouchons vers Villa Industrielle je prends Villa Ornano Rue Albin Haller,Villa Ornano,Rue Albin Haller,
De Rue de l'Elysée à Rue de Montevideo avec un crochet à Rue de Belfort avant je voulais aller à Impasse Girardon mais finalement je ne vais pas y aller,Rue de l'Elysée,Rue de Montevideo,Rue de Belfort
Est-ce possible d'aller à Epernay depuis Fourchambault avec un arrêt à Macau,Fourchambault,Epernay,Macau
Emmène-moi à Les Clairières-de-Verneuil non je voulais dire à Farbus et là je suis à Villefranche-de-Rouergue,Villefranche-de-Rouergue,Farbus,
J'ai dit Les Trillers non Pont-Cardinet vers Bouray,Pont-Cardinet,Bouray,
Je pars de Barentin-Embranchement dans une heure pause déjeuner à Dégagnac pour arriver à Chambly ce soir,Barentin-Embranchement,Chambly,Dégagnac
Coussey par Arches,,Coussey,Arches
Un trajet de Chatte vers Remereville s'il te plaît,Chatte,Remereville,
Voyons voir Templeuve non de Retiers jusqu'à Castelnaudary,Retiers,Castelnaudary,
Faut passer à Pompadour entre Ste-Gauburge et St-Fons pour récup un truc,Ste-Gauburge,St-Fons,Pompadour
Je vais de Gannes à Neuilly-sur-Marne pas à Abancourt,Gannes,Neuilly-sur-Marne,
Rue du Marché Popincourt en quittant Rue de Monbel je voulais dire que je vais à Voie Bh/17,Rue de Monbel,Voie Bh/17,
J'habite à Voie Cd/20 je dois passer par Rue Pierre Gourdault pour aller à Rue Lécuyer,Voie Cd/20,Rue Lécuyer,Rue Pierre Gourdault
Guide-moi de Chateau gaillard à Berganty,Chateau gaillard,Berganty,
Je dois voyager à Ronchin Hannon je voulais dire Mohon pardon et je suis à Phalempin là,Phalempin,Mohon,
Mon planning a changé plus besoin d'aller vers Rue Chardin juste Rue Xavier Privas mais pas Rue du Sergent Maginot direction Rue de Monbel,Rue Xavier Privas,Rue de Monbel,
Calcule-moi Rue Coysevox passe par Rue Charles Dickens fini à Rue Miguel Hidalgo vite,Rue Coysevox,Rue Miguel Hidalgo,Rue Charles Dickens
Erdre-Active Rochy-Condé pardon Provins en passant en face de Ormoy-Villers pour me rendre à Corcy,Provins,Corcy,Ormoy-Villers
Je suis à Ceaux en loudun faut aller à La groise puis Villemorien,Ceaux en loudun,Villemorien,La groise
Mon planning a changé plus besoin d'aller vers Ambérieu juste Urt mais pas Le Bosquet direction Naintré-les-Barres,Urt,Naintré-les-Barres,
Trajet de Voie Fd/20 terminus Rue de Tahiti,Voie Fd/20,Rue de Tahiti,
Je veux pas faire Avenue du Tremblay ou Rue Pierre Rebière maintenant c'est Voie Cd/20 via Rue Violet puis Rue Rouget de l'Isle,Voie Cd/20,Rue Rouget de l'Isle,Rue Violet
Je dois voyager à Colmar Hannon je voulais dire Frynaudour pardon et je suis à Jussey là,Jussey,Frynaudour,
Il me faut un itinéraire Pont-Cardinet Jussey,Pont-Cardinet,Jussey,
Je veux plus aller à Rue des Gardes maintenant je veux aller à Rue Coysevox avec un detour à Rue Pierre Chausson en allant de Rue Pierre Mouillard,Rue Pierre Mouillard,Rue Coysevox,Rue Pierre Chausson
Position actuelle Chateau gaillard direction Quessoy ah non je voulais dire Coteaux du blanzacais,Chateau gaillard,Coteaux du blanzacais,
Annule le passage par Givonne nouveau trajet début Pradelles escale La baume de transit fin Segos,Pradelles,Segos,La baume de transit
J'aimerais aller devant St-Martin-le-Beau et là je pars de chez moi à Villefranche-de-Rouergue,Villefranche-de-Rouergue,St-Martin-le-Beau,
Faut passer à Rue d'Arras entre Rue des Immeubles Industriels et Cité Hittorf pour récup un truc,Rue des Immeubles Industriels,Cité Hittorf,Rue d'Arras
Marolles-en-Hurepoix en prenant le passage de Chaugey,,Marolles-en-Hurepoix,Chaugey
Le chemin Villefranche-de-Rouergue Bibliothèque-François-Mitterrand s'il te plaît,Villefranche-de-Rouergue,Bibliothèque-François-Mitterrand,
Pour me rendre à Hunspach je dois passer par Soyecourt en partant de La neuve grange Ste mere,Ste mere,Hunspach,Soyecourt
Armix par Bellevigne,,Armix,Bellevigne
J'ai besoin d'un itinéraire Alors on va dire départ Brassac-les-Mines-Ste-Florine arrivée Moulis-Listrac ah non non Ebersheim pardon mais faut passer par Moulis-Listrac,Brassac-les-Mines-Ste-Florine,Ebersheim,Moulis-Listrac
Donc je vais chez un ami à Condat sur vezere et là je suis actuellement à La roche posay,La roche posay,Condat sur vezere,
Rue Eugène Jumin à Voie Cp/12 c’est où,Rue Eugène Jumin,Voie Cp/12,
Je veux plus aller à Passage du Désir maintenant je veux aller à Souterrain Berger Est avec un detour à Voie P/12 en allant de Place Gambetta,Place Gambetta,Souterrain Berger Est,Voie P/12
Voyons voir Voie Df/19 nom de Rue de la Jussienne à Voie Cp/12,Rue de la Jussienne,Voie Cp/12,
Je part de Voie Cd/20 vers Rue Adolphe Jullien et Cité Hittorf,Voie Cd/20,Cité Hittorf,Rue Adolphe Jullien
Voie Fd/20 destination Allée Marius Barroux,Voie Fd/20,Allée Marius Barroux,
J'habite à Bar-sur-Aube je dois passer par Obermodern pour aller à Mignaloux-Nouaillé,Bar-sur-Aube,Mignaloux-Nouaillé,Obermodern
J'ai un parcours un peu particulier Montsauche les settons pour commencer Sajas au milieu et Aspin en lavedan pour terminer,Montsauche les settons,Aspin en lavedan,Sajas
Je part de Rue Paul Séjourné vers Impasse Cels et Rue René Boulanger,Rue Paul Séjourné,Rue René Boulanger,Impasse Cels
Je suis Rue Henri Verneuil je veux aller Avenue de la Bourdonnais,Rue Henri Verneuil,Avenue de la Bourdonnais,
Je dois partir de Caumont merde de Laneuville au pont pour me rendre à Balesta fait un petit détour à Diou,Laneuville au pont,Balesta,Diou
Je dois partir de Passage des Abbesses merde de Rue du Chalet pour me rendre à Rue de Castellane fait un petit détour à Rue Théodore Deck,Rue du Chalet,Rue de Castellane,Rue Théodore Deck
Je voulais aller Rue Etex mais finalement ce sera Avenue des Pavillons Rue du Colonel Oudot,Avenue des Pavillons,Rue du Colonel Oudot,
Hier c'était Tanneron aujourd'hui c'est Areines escale Julos terminus St etienne de puycorbier,Areines,St etienne de puycorbier,Julos
Comment aller à Rue Max Jacob en passant par Voie C/18 ah enfaite je veux aller Rue des Dames en passant par Rue du Pasteur Wagner en partant de Rue Gay-Lussac,Rue Gay-Lussac,Rue des Dames,Rue du Pasteur Wagner
Le GPS Bugge à Rue des Carmes direction Impasse Salembrière Rue Eugène Jumin,Impasse Salembrière,Rue Eugène Jumin,
Je veux plus aller à Vetre sur anzon maintenant je veux aller à Hunspach avec un detour à Rouy le grand en allant de Abeilhan,Abeilhan,Hunspach,Rouy le grand
Je suis Mormant je veux aller Bessines,Mormant,Bessines,
Je veux voyager La cabanasse mais pas directement d'abord je me lance de La collancelle et je dois impérativement passer par Preaux bocage,La collancelle,La cabanasse,Preaux bocage
Alors Créteil-Pompadour attends voilà Brassac-les-Mines-Ste-Florine Isbergues par Le Bourget,Brassac-les-Mines-Ste-Florine,Isbergues,Le Bourget
Rosey,,Rosey,
Place de Barcelone Rue des Immeubles Industriels par Rue Emile Level,Place de Barcelone,Rue des Immeubles Industriels,Rue Emile Level
J'ai un parcours un peu particulier La chapelle hareng pour commencer Martiel au milieu et Ceton pour terminer,La chapelle hareng,Ceton,Martiel
Le GPS bug à Rue d'Artois direction Rue Bernard Tétu Chemin des Pépinières,Rue Bernard Tétu,Chemin des Pépinières,
Trajet de Rue Montmartre terminus Place Baudoyer,Rue Montmartre,Place Baudoyer,
Je suis à St etienne de tinee faut se diriger vers Mouhous puis Andance,St etienne de tinee,Andance,Mouhous
De Montsauche les settons à Ceaux en loudun avec un crochet à Chasne sur illet avant je voulais aller à Le juch mais finalement je ne vais pas y aller,Montsauche les settons,Ceaux en loudun,Chasne sur illet
Comment de Le Grand-Jardin à Boussay-La Bruffière,Le Grand-Jardin,Boussay-La Bruffière,
Il me faudrait Rue Albin Haller direction Cour Jacques Viguès,Rue Albin Haller,Cour Jacques Viguès,
Position Phalempin destination finale Les Saules,Phalempin,Les Saules,
Le vicel par Therondels Hannon Distroff par Montadet pour Le crotoy,Distroff,Le crotoy,Montadet
Migre par St laurent du plan Hannon Le crotoy par Thomirey pour Fallon,Le crotoy,Fallon,Thomirey
Comment de Villa Ornano à Place Jean Monnet,Villa Ornano,Place Jean Monnet,
Y'a moyen de faire un Pins-Justaret Varetz en passant par Abbaretz,Pins-Justaret,Varetz,Abbaretz
Pas par Chabenet à Merxheim mais par Villabé en passant par Grenoble pour finir à Mazières-Verruyes mais du coup je ne vais pas à Étaples-Le Touquet,Villabé,Mazières-Verruyes,Grenoble
De Rue Pelée à Rue des Gâtines Avenue de la Porte Didot et Rue Gérard sont barrés,Rue Pelée,Rue des Gâtines,
Je dois passer par Munster pour aller à St etienne de tinee en partant de Essouvert,Essouvert,St etienne de tinee,Munster
Je veux pas faire Rue Adolphe Jullien ou Cité Berryer maintenant c'est Rue de l'Abbé Rousselot via Chemin des Vieux Chênes puis Rue Rouget de l'Isle,Rue de l'Abbé Rousselot,Rue Rouget de l'Isle,Chemin des Vieux Chênes
Rue Gay-Lussac direct apres Avenue de la Porte de Montmartre depart Voie Cd/20,Voie Cd/20,Rue Gay-Lussac,Avenue de la Porte de Montmartre
Emmène-moi à Marseille non je voulais dire à Saugon et là je suis à Chaudardes,Chaudardes,Saugon,
Je voudrais un billet de train pour St hilaire de voust non je voulais dire Hohrod et je partirai de Chatte,Chatte,Hohrod,
Rue Montmartre jusque Avenue Benoît Frachon jusque Impasse de Joinville désolé,Rue Montmartre,Impasse de Joinville,
Pour aller à Pont-de-Claix je dois traverser Bédarieux Oulchy-Breny je voulais dire et je débute à Le Havre,Le Havre,Pont-de-Claix,Oulchy-Breny
Rendez-vous annulé à Roqueseriere je vais Sauville à Montrecourt,Sauville,Montrecourt,
Comment aller de Igny à St-Georges-de-Commiers,Igny,St-Georges-de-Commiers,
Pas Square du Nouveau Belleville je veux dire de Villa Ornano pour aller Impasse de Joinville et du coup je passe pas par Place Jacques Bainville,Villa Ornano,Impasse de Joinville,
Annule le passage par Pont-de-Buis Lès Quimerc'h nouveau trajet début Barentin-Embranchement escale Illiers-Combray fin Bar-sur-Aube,Barentin-Embranchement,Bar-sur-Aube,Illiers-Combray
Veux me rendre chez mon ami qui habite à Square du Périgord en partant de Voie Cd/15 mais avant je me rends à Rue Rudolf Noureev,Voie Cd/15,Square du Périgord,Rue Rudolf Noureev
J'ai besoin d'un itinéraire Alors on va dire départ Villefranche-sur-Cher arrivée Marquette ah non non Montigny-Beauchamp pardon mais faut passer par Marquette,Villefranche-sur-Cher,Montigny-Beauchamp,Marquette
Je suis perdu entre Gilette et Fleurey les faverney je veux juste Mayet Rosey,Mayet,Rosey,
Je suis en retard faut que j'aille de Arfons à Lebetain,Arfons,Lebetain,
Je commence à Notre dame du parc je finis à Areines ah et j'oubliais faut que je passe par Artigueloutan entre les deux,Notre dame du parc,Areines,Artigueloutan
St moreil jusque Varize vaudoncourt jusque Berganty désolé,St moreil,Berganty,
